title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
How Do You Do?,Mouth & MacNeal,spotify:track:45UuS9n7w5ZZrmzsDsbHm4,0.503,0.473,2,-11.766,1,0.0325,0.573,3.58e-06,0.643,0.78,96.183,audio_features,45UuS9n7w5ZZrmzsDsbHm4,https://api.spotify.com/v1/tracks/45UuS9n7w5ZZrmzsDsbHm4,https://api.spotify.com/v1/audio-analysis/45UuS9n7w5ZZrmzsDsbHm4,243813,4
I Will Return,Springwater,spotify:track:5W2XBZxuWp4FWgrD53WE2X,0.0994,0.495,0,-6.129,1,0.0346,0.896,0.887,0.0708,0.112,70.306,audio_features,5W2XBZxuWp4FWgrD53WE2X,https://api.spotify.com/v1/tracks/5W2XBZxuWp4FWgrD53WE2X,https://api.spotify.com/v1/audio-analysis/5W2XBZxuWp4FWgrD53WE2X,187227,4
I'm A Believer,Neil Diamond,spotify:track:0Xh4FLPsZSlXIupqRvdbs2,0.604,0.791,9,-3.846,1,0.0299,0.503,5.75e-06,0.327,0.836,80.276,audio_features,0Xh4FLPsZSlXIupqRvdbs2,https://api.spotify.com/v1/tracks/0Xh4FLPsZSlXIupqRvdbs2,https://api.spotify.com/v1/audio-analysis/0Xh4FLPsZSlXIupqRvdbs2,163667,4
"I've Seen All Good People: a. Your Move, b. All Good People - 2003 Remaster",Yes,spotify:track:3skk6UIXV4kepq2bdYy97g,0.417,0.425,4,-11.689,1,0.062,0.0418,1.31e-05,0.0897,0.498,134.917,audio_features,3skk6UIXV4kepq2bdYy97g,https://api.spotify.com/v1/tracks/3skk6UIXV4kepq2bdYy97g,https://api.spotify.com/v1/audio-analysis/3skk6UIXV4kepq2bdYy97g,413347,4
If,Bread,spotify:track:1Fu3gq55GH3P6OF352rEIc,0.388,0.176,9,-16.952,1,0.0299,0.912,0.000336,0.0977,0.342,97.628,audio_features,1Fu3gq55GH3P6OF352rEIc,https://api.spotify.com/v1/tracks/1Fu3gq55GH3P6OF352rEIc,https://api.spotify.com/v1/audio-analysis/1Fu3gq55GH3P6OF352rEIc,155773,4
If You Could Read My Mind,Gordon Lightfoot,spotify:track:57ct8jKi6trntXiRV0NnXi,0.612,0.24,9,-12.821,1,0.033,0.745,7.86e-05,0.115,0.223,122.565,audio_features,57ct8jKi6trntXiRV0NnXi,https://api.spotify.com/v1/tracks/57ct8jKi6trntXiRV0NnXi,https://api.spotify.com/v1/audio-analysis/57ct8jKi6trntXiRV0NnXi,228840,4
Is This The Way To Amarillo,Tony Christie,spotify:track:358xKpDEPxwDqlHPadJoHk,0.709,0.856,9,-4.403,1,0.0296,0.0396,0.0,0.166,0.916,131.959,audio_features,358xKpDEPxwDqlHPadJoHk,https://api.spotify.com/v1/tracks/358xKpDEPxwDqlHPadJoHk,https://api.spotify.com/v1/audio-analysis/358xKpDEPxwDqlHPadJoHk,193147,4
It Don't Come Easy,Ringo Starr,spotify:track:4RFqi5JQduiSlRZCVlUDGH,0.609,0.624,7,-11.717,1,0.0292,0.0396,0.000168,0.277,0.691,123.191,audio_features,4RFqi5JQduiSlRZCVlUDGH,https://api.spotify.com/v1/tracks/4RFqi5JQduiSlRZCVlUDGH,https://api.spotify.com/v1/audio-analysis/4RFqi5JQduiSlRZCVlUDGH,184333,4
It's Too Late,Carole King,spotify:track:12q3V8ShACq2PSWINMc2rC,0.45,0.442,9,-12.718,0,0.0353,0.493,0.00564,0.134,0.812,208.282,audio_features,12q3V8ShACq2PSWINMc2rC,https://api.spotify.com/v1/tracks/12q3V8ShACq2PSWINMc2rC,https://api.spotify.com/v1/audio-analysis/12q3V8ShACq2PSWINMc2rC,233173,4
Jealous Guy - Remastered 2010,John Lennon,spotify:track:3D9iV6cYkYJRAPFO6DRKIE,0.489,0.389,4,-11.653,0,0.0284,0.877,0.32,0.105,0.254,131.366,audio_features,3D9iV6cYkYJRAPFO6DRKIE,https://api.spotify.com/v1/tracks/3D9iV6cYkYJRAPFO6DRKIE,https://api.spotify.com/v1/audio-analysis/3D9iV6cYkYJRAPFO6DRKIE,257787,4
